number,value,datetime_start,datetime_complete,duration,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.6743226932023162,2025-01-08 21:06:53.319609,2025-01-08 21:07:33.807340,0 days 00:00:40.487731,balanced,entropy,249,log2,72,22,5849,COMPLETE
1,0.6290720091756167,2025-01-08 21:06:53.319609,2025-01-08 21:07:47.606167,0 days 00:00:54.286558,,entropy,803,log2,92,380,8218,COMPLETE
2,0.6045156089288368,2025-01-08 21:06:53.335293,2025-01-08 21:07:25.174670,0 days 00:00:31.839377,,gini,296,sqrt,175,189,1920,COMPLETE
3,0.6240957367870231,2025-01-08 21:06:53.335293,2025-01-08 21:07:34.815164,0 days 00:00:41.479871,,gini,475,sqrt,104,453,6426,COMPLETE
4,0.6214062299945151,2025-01-08 21:06:53.335293,2025-01-08 21:07:13.693878,0 days 00:00:20.358585,balanced,gini,873,sqrt,451,659,3713,COMPLETE
5,0.5758423396556499,2025-01-08 21:06:53.339327,2025-01-08 21:07:04.005105,0 days 00:00:10.665778,,gini,364,log2,319,998,1898,COMPLETE
6,0.5719279877839089,2025-01-08 21:06:53.341718,2025-01-08 21:08:28.513916,0 days 00:01:35.172198,,gini,651,sqrt,391,293,6271,COMPLETE
7,0.6297341011273048,2025-01-08 21:06:53.341718,2025-01-08 21:07:15.562014,0 days 00:00:22.220296,,entropy,942,log2,98,249,3239,COMPLETE
8,0.6724115036688514,2025-01-08 21:06:53.341718,2025-01-08 21:08:38.456390,0 days 00:01:45.114672,balanced,entropy,679,,31,764,6485,COMPLETE
9,0.6568882048328929,2025-01-08 21:06:53.341718,2025-01-08 21:07:34.643145,0 days 00:00:41.301427,balanced,entropy,991,sqrt,188,475,1173,COMPLETE
10,0.660968982940452,2025-01-08 21:06:53.341718,2025-01-08 21:08:25.222149,0 days 00:01:31.880431,balanced,gini,478,sqrt,162,47,8725,COMPLETE
11,0.6280834268754271,2025-01-08 21:06:53.351010,2025-01-08 21:09:07.394334,0 days 00:02:14.043324,balanced,gini,67,,407,106,6712,COMPLETE
12,0.6755323723966975,2025-01-08 21:06:53.351010,2025-01-08 21:08:30.703543,0 days 00:01:37.352533,balanced,entropy,929,log2,37,463,2104,COMPLETE
13,0.6251608806061926,2025-01-08 21:06:53.351010,2025-01-08 21:08:47.945431,0 days 00:01:54.594421,balanced,gini,266,sqrt,405,542,6505,COMPLETE
14,0.6447691137493078,2025-01-08 21:06:53.351010,2025-01-08 21:08:50.054264,0 days 00:01:56.703254,,gini,361,sqrt,36,233,6674,COMPLETE
15,0.6560025016416552,2025-01-08 21:06:53.351010,2025-01-08 21:08:25.077149,0 days 00:01:31.726139,balanced,entropy,650,log2,195,287,8843,COMPLETE
16,0.6212963820388229,2025-01-08 21:06:53.351010,2025-01-08 21:07:33.855343,0 days 00:00:40.504333,balanced,gini,270,sqrt,450,175,3813,COMPLETE
17,0.6382132294901244,2025-01-08 21:06:53.359753,2025-01-08 21:08:23.432764,0 days 00:01:30.073011,balanced,gini,211,log2,310,193,9450,COMPLETE
18,0.5941002496537355,2025-01-08 21:06:53.361759,2025-01-08 21:07:24.049311,0 days 00:00:30.687552,,entropy,179,sqrt,201,677,1835,COMPLETE
19,0.6256114295462222,2025-01-08 21:06:53.363763,2025-01-08 21:07:50.834080,0 days 00:00:57.470317,balanced,entropy,642,sqrt,407,239,4699,COMPLETE
20,0.6194412417252337,2025-01-08 21:06:53.363763,2025-01-08 21:08:22.498419,0 days 00:01:29.134656,balanced,entropy,67,sqrt,499,721,2477,COMPLETE
21,0.5833587323754511,2025-01-08 21:06:53.363763,2025-01-08 21:07:33.003291,0 days 00:00:39.639528,,entropy,888,sqrt,289,440,33,COMPLETE
22,0.5932022069711747,2025-01-08 21:06:53.363763,2025-01-08 21:08:36.733036,0 days 00:01:43.369273,,gini,544,sqrt,209,719,9061,COMPLETE
23,0.6564578520030273,2025-01-08 21:06:53.365768,2025-01-08 21:08:30.015914,0 days 00:01:36.650146,balanced,entropy,233,,231,58,3007,COMPLETE
24,0.5702904451656047,2025-01-08 21:06:53.365768,2025-01-08 21:08:17.771454,0 days 00:01:24.405686,,entropy,51,log2,442,238,6234,COMPLETE
25,0.6604458826395833,2025-01-08 21:06:53.366773,2025-01-08 21:08:19.289002,0 days 00:01:25.922229,balanced,gini,27,,202,701,2382,COMPLETE
26,0.5840997370262512,2025-01-08 21:06:53.366773,2025-01-08 21:07:46.880154,0 days 00:00:53.513381,,entropy,233,log2,284,709,2303,COMPLETE
27,0.5918373246830441,2025-01-08 21:06:53.366773,2025-01-08 21:08:24.206765,0 days 00:01:30.839992,,gini,640,sqrt,231,638,7109,COMPLETE
28,0.6046922807405501,2025-01-08 21:07:04.007112,2025-01-08 21:08:47.287428,0 days 00:01:43.280316,,gini,129,sqrt,159,697,5208,COMPLETE
29,0.6508830176860595,2025-01-08 21:07:13.697890,2025-01-08 21:08:36.045254,0 days 00:01:22.347364,balanced,entropy,86,log2,207,790,2933,COMPLETE
30,0.5744891711794772,2025-01-08 21:07:15.566027,2025-01-08 21:08:45.943281,0 days 00:01:30.377254,,entropy,980,sqrt,353,267,4208,COMPLETE
31,0.6502716930702573,2025-01-08 21:07:24.051317,2025-01-08 21:09:11.230145,0 days 00:01:47.178828,balanced,entropy,633,sqrt,232,392,8497,COMPLETE
32,0.5946175824729812,2025-01-08 21:07:25.178682,2025-01-08 21:08:56.408881,0 days 00:01:31.230199,,gini,448,log2,218,182,5541,COMPLETE
33,0.6301875025239033,2025-01-08 21:07:33.007302,2025-01-08 21:10:18.338190,0 days 00:02:45.330888,,entropy,886,,193,71,8287,COMPLETE
