number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.6285726734053677,2025-01-04 21:04:08.012041,2025-01-04 21:07:52.458926,0 days 00:03:44.446885,123,log2,34,728,3766,COMPLETE
1,0.6285726734053677,2025-01-04 21:04:08.014043,2025-01-04 21:10:59.163200,0 days 00:06:51.149157,363,log2,301,568,7111,COMPLETE
2,0.6285726734053677,2025-01-04 21:04:08.015041,2025-01-04 21:06:07.313875,0 days 00:01:59.298834,331,sqrt,129,219,2038,COMPLETE
3,0.6285726734053677,2025-01-04 21:04:08.016040,2025-01-04 21:09:24.913713,0 days 00:05:16.897673,874,,449,953,5381,COMPLETE
4,0.6285726734053677,2025-01-04 21:04:08.017290,2025-01-04 21:04:32.083541,0 days 00:00:24.066251,992,,5,213,200,COMPLETE
5,0.6285726734053677,2025-01-04 21:04:08.019290,2025-01-04 21:10:31.591128,0 days 00:06:23.571838,150,log2,219,615,6483,COMPLETE
6,0.6285726734053677,2025-01-04 21:04:08.020291,2025-01-04 21:11:12.283427,0 days 00:07:04.263136,788,log2,399,314,7406,COMPLETE
7,0.6285726734053677,2025-01-04 21:04:08.061937,2025-01-04 21:12:36.821098,0 days 00:08:28.759161,543,sqrt,471,180,9240,COMPLETE
8,0.6285726734053677,2025-01-04 21:04:08.098862,2025-01-04 21:04:29.657029,0 days 00:00:21.558167,987,,393,295,154,COMPLETE
9,0.6285726734053677,2025-01-04 21:04:08.100109,2025-01-04 21:12:47.709954,0 days 00:08:39.609845,384,sqrt,278,74,9429,COMPLETE
10,0.6285726734053677,2025-01-04 21:04:08.283153,2025-01-04 21:06:24.006499,0 days 00:02:15.723346,447,,482,574,2267,COMPLETE
11,0.6285726734053677,2025-01-04 21:04:08.439036,2025-01-04 21:06:29.924591,0 days 00:02:21.485555,558,,221,438,2351,COMPLETE
12,0.6285726734053677,2025-01-04 21:04:08.495652,2025-01-04 21:07:21.718220,0 days 00:03:13.222568,300,,147,785,3280,COMPLETE
13,0.6285726734053677,2025-01-04 21:04:08.629098,2025-01-04 21:09:21.913683,0 days 00:05:13.284585,20,sqrt,315,17,5357,COMPLETE
14,0.6285726734053677,2025-01-04 21:04:08.659516,2025-01-04 21:10:36.972800,0 days 00:06:28.313284,546,sqrt,97,624,6645,COMPLETE
15,0.6285726734053677,2025-01-04 21:04:08.846157,2025-01-04 21:05:39.989332,0 days 00:01:31.143175,138,,285,249,1497,COMPLETE
16,0.6285726734053677,2025-01-04 21:04:09.077639,2025-01-04 21:08:06.720337,0 days 00:03:57.642698,912,log2,321,433,4052,COMPLETE
17,0.6285726734053677,2025-01-04 21:04:09.264112,2025-01-04 21:12:55.089831,0 days 00:08:45.825719,827,sqrt,31,780,9602,COMPLETE
18,0.6285726734053677,2025-01-04 21:04:09.450182,2025-01-04 21:07:23.123621,0 days 00:03:13.673439,981,sqrt,71,396,3325,COMPLETE
19,0.6285726734053677,2025-01-04 21:04:09.916970,2025-01-04 21:07:19.396824,0 days 00:03:09.479854,591,sqrt,473,798,3262,COMPLETE
20,0.6285726734053677,2025-01-04 21:04:10.194788,2025-01-04 21:08:51.271782,0 days 00:04:41.076994,120,sqrt,302,659,4728,COMPLETE
21,0.6285726734053677,2025-01-04 21:04:10.528589,2025-01-04 21:12:45.341162,0 days 00:08:34.812573,35,sqrt,16,971,9419,COMPLETE
22,0.9340362495643081,2025-01-04 21:04:11.203512,2025-01-04 21:06:08.782605,0 days 00:01:57.579093,650,sqrt,15,42,609,COMPLETE
23,0.6285726734053677,2025-01-04 21:04:11.852738,2025-01-04 21:11:47.186771,0 days 00:07:35.334033,120,sqrt,251,809,8125,COMPLETE
24,0.6285726734053677,2025-01-04 21:04:12.306524,2025-01-04 21:06:26.284066,0 days 00:02:13.977542,171,log2,325,26,2347,COMPLETE
25,0.6285726734053677,2025-01-04 21:04:13.355685,2025-01-04 21:12:32.100824,0 days 00:08:18.745139,932,log2,322,152,9077,COMPLETE
26,0.6285726734053677,2025-01-04 21:04:14.827285,2025-01-04 21:08:19.868321,0 days 00:04:05.041036,78,,159,490,4241,COMPLETE
27,0.6285726734053677,2025-01-04 21:04:15.605828,2025-01-04 21:05:13.483382,0 days 00:00:57.877554,397,sqrt,428,860,1000,COMPLETE
