number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.5080217965004657,2025-01-10 22:35:16.780556,2025-01-10 22:37:23.969469,0 days 00:02:07.188913,72.16196889765017,0.31369692029032487,0.8708413211722823,0.7941272195165439,42.57879505861258,66.9714484201471,0.04213265665135164,100,96,1516,0.6899608411146787,COMPLETE
1,0.5642281305900516,2025-01-10 22:35:16.781555,2025-01-10 22:38:46.349386,0 days 00:03:29.567831,75.36537985838997,0.5650205220689848,0.3762288328703434,0.82121396556803,25.32960128612124,49.81454892546124,0.06607672062307454,66,88,4818,0.23754986624212926,COMPLETE
2,0.49306495357059,2025-01-10 22:35:16.782555,2025-01-10 22:37:07.887304,0 days 00:01:51.104749,72.33511364819205,0.9844597279391014,0.8702343582231371,0.6151385537921683,47.1603012998104,12.288428983428451,0.19274381573523608,80,31,872,0.8016314751844491,COMPLETE
3,0.4771602883979123,2025-01-10 22:35:16.782555,2025-01-10 22:35:47.739140,0 days 00:00:30.956585,88.86284769266807,0.36927677386497965,0.799321368033082,0.4166676078414184,17.894825357395533,34.25637782464009,0.3635426189013701,69,77,1190,0.7203922652045665,COMPLETE
4,0.4106712079578476,2025-01-10 22:35:16.783556,2025-01-10 22:37:21.794832,0 days 00:02:05.011276,21.24591266468817,0.42403299596131083,0.34780515420450425,0.23689902350314293,0.7545396424631812,55.422678936506834,0.3088244724867455,22,61,1276,0.40428584269662377,COMPLETE
5,0.451534409192611,2025-01-10 22:35:16.785555,2025-01-10 22:38:56.172292,0 days 00:03:39.386737,31.325560514811222,0.7474232028013066,0.5281188400171857,0.9814524560040521,33.90097845604171,15.426941942475906,0.008539181482931396,25,43,2744,0.9487012607508916,COMPLETE
6,0.45815122831056976,2025-01-10 22:35:16.786556,2025-01-10 22:39:44.560501,0 days 00:04:27.773945,27.066313743243718,0.7327794647695833,0.4931702314183404,0.32333435620388207,10.749838889094521,44.91930235658638,0.3422092368058937,10,49,4988,0.36531581456202444,COMPLETE
7,0.4821057775189503,2025-01-10 22:35:16.789556,2025-01-10 22:37:44.943768,0 days 00:02:28.154212,63.81876214057355,0.8418511188952906,0.5305225063825694,0.8200479639845784,21.62591969388267,65.07742749448813,0.3187979505793433,5,20,1534,0.529176716736206,COMPLETE
8,0.4765979304042643,2025-01-10 22:35:16.789556,2025-01-10 22:36:46.448864,0 days 00:01:29.659308,31.239682206972287,0.2265760716300097,0.5364634496566203,0.8883861337765138,41.99914584537587,82.59391387284397,0.24276504310231944,98,91,2429,0.7717892660138133,COMPLETE
9,0.4835322676659346,2025-01-10 22:35:16.790558,2025-01-10 22:38:54.626568,0 days 00:03:37.836010,94.23136097379117,0.8037954163497185,0.33100858046003945,0.7064828855140297,8.195514098454792,44.56109045465523,0.025360900229797468,92,76,2722,0.4884636039690935,COMPLETE
